Date,delegacion_inicio,value
2014-05-01,TLALPAN,112
2014-05-01,VENUSTIANO CARRANZA,146
2014-05-01,XOCHIMILCO,65
2014-11-01,ALVARO OBREGON,214
2014-11-01,AZCAPOTZALCO,155
2014-11-01,BENITO JUAREZ,233
2014-11-01,COYOACAN,174
2014-11-01,CUAJIMALPA,39
2014-11-01,CUAUHTEMOC,397
2014-11-01,GUSTAVO A. MADERO,334
2014-11-01,IZTACALCO,127
2014-11-01,IZTAPALAPA,543
2014-11-01,MAGDALENA CONTRERAS,32
2014-11-01,MIGUEL HIDALGO,180
2014-11-01,MILPA ALTA,21
2014-11-01,TLAHUAC,78
2014-11-01,TLALPAN,150
2014-11-01,VENUSTIANO CARRANZA,181
2014-11-01,XOCHIMILCO,98
2014-10-01,ALVARO OBREGON,178
2014-10-01,AZCAPOTZALCO,145
2014-10-01,BENITO JUAREZ,165
2014-10-01,COYOACAN,211
2014-10-01,CUAJIMALPA,26
2014-10-01,CUAUHTEMOC,401
2014-10-01,GUSTAVO A. MADERO,374
2014-10-01,IZTACALCO,156
2014-10-01,IZTAPALAPA,498
2014-10-01,MAGDALENA CONTRERAS,37
2014-10-01,MIGUEL HIDALGO,196
2014-10-01,MILPA ALTA,19
2014-10-01,TLAHUAC,112
2014-10-01,TLALPAN,151
2014-10-01,VENUSTIANO CARRANZA,214
2014-10-01,XOCHIMILCO,72
2014-09-01,ALVARO OBREGON,215
2014-09-01,AZCAPOTZALCO,110
2014-09-01,BENITO JUAREZ,173
2014-09-01,COYOACAN,267
2014-09-01,CUAJIMALPA,17
2014-09-01,CUAUHTEMOC,319
2014-09-01,GUSTAVO A. MADERO,275
2014-09-01,IZTACALCO,125
2014-09-01,IZTAPALAPA,374
2014-09-01,MAGDALENA CONTRERAS,36
2014-09-01,MIGUEL HIDALGO,197
2014-09-01,MILPA ALTA,10
2014-09-01,TLAHUAC,62
2014-09-01,TLALPAN,106
2014-09-01,VENUSTIANO CARRANZA,219
2014-09-01,XOCHIMILCO,84
2015-04-01,ALVARO OBREGON,201
2015-04-01,AZCAPOTZALCO,98
